Song,Performer,track_id,cluster_grouping,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
We Found Love,Rihanna Featuring Calvin Harris,6qn9YLKt13AGvpq9jfO8py,53,0.7340000000000001,0.7659999999999999,1.0,-4.485,1.0,0.0383,0.025,0.0013800000000000002,0.10800000000000001,0.6,127.986,4.0
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,5BrTUo0xP1wKXLJWUaGFtk,54,0.841,0.522,10.0,-5.962999999999999,0.0,0.049,0.0168,1.37e-06,0.188,0.616,99.059,4.0
Birthday Song,2 Chainz Featuring Kanye West,5qkWTBmDmZjogwIvbKtJQv,55,0.753,0.59,1.0,-2.623,1.0,0.0485,0.0591,0.0,0.15,0.161,140.002,4.0
We Belong Together,Mariah Carey,3LmvfNUQtglbTrydsdIqFU,56,0.838,0.469,0.0,-7.992000000000001,1.0,0.0835,0.0358,0.0,0.0928,0.778,139.975,4.0
What You Got,Colby O'Donis Featuring Akon,3MldzywZOH4Uci6bq9noyJ,57,0.7709999999999999,0.631,1.0,-6.795,1.0,0.0395,0.0308,0.0,0.168,0.28300000000000003,119.965,4.0
Then The Morning Comes,Smash Mouth,50MfV7a1pnOEcf2t9kobxW,58,0.736,0.868,5.0,-4.9719999999999995,0.0,0.0289,0.024,0.0,0.0735,0.961,118.59899999999999,4.0
Come Over,Kenny Chesney,6BCrbWBpb8d6KWmEqZ41tr,59,0.466,0.7040000000000001,1.0,-7.169,1.0,0.0353,0.1,2.71e-05,0.0744,0.48100000000000004,176.043,4.0
It's Your Thing,Mercedes Featuring Master P,4bGMBCXWVqKmfFf8A6jYgZ,60,0.763,0.741,11.0,-6.752000000000001,0.0,0.377,0.318,0.0,0.064,0.498,127.965,4.0
Passionfruit,Drake,5mCPDVBb16L4XQwDdbRUpz,259,0.804,0.45899999999999996,11.0,-11.556,1.0,0.039,0.304,0.0862,0.11,0.37200000000000005,111.963,4.0
Whatever You Say,Martina McBride,2fwTF4pELhEkd6sk3D1PnL,62,0.456,0.649,8.0,-6.157,1.0,0.0265,0.0323,4.02e-06,0.0461,0.0763,152.957,4.0
Hero,Enrique Iglesias,24Gxm7Eh7tO83E26LG0CsY,63,0.5670000000000001,0.65,7.0,-5.478,1.0,0.0447,0.135,1.9399999999999997e-05,0.11,0.154,76.036,4.0
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,1RS3LStQYhju50eBdD9Uul,64,0.47200000000000003,0.532,10.0,-5.882000000000001,1.0,0.0319,0.586,0.0,0.106,0.152,129.77700000000002,4.0
Neon Lights,Demi Lovato,34MJ07N9Bhu6iKPaxSVnCT,65,0.631,0.8190000000000001,9.0,-4.24,1.0,0.122,0.0767,0.0,0.1,0.733,125.928,4.0
Fight Song,Rachel Platten,37f4ITSlgPX81ad2EvmVQr,66,0.564,0.7140000000000001,7.0,-4.987,1.0,0.129,0.0549,0.0,0.155,0.33,175.924,4.0
What You Want,DMX Featuring Sisqo,5UiNMzNNDiv2oZlAWVj9el,123,0.645,0.833,1.0,-5.695,1.0,0.327,0.0697,0.0,0.309,0.7170000000000001,167.13299999999998,4.0
Your Love,Nicki Minaj,3bGxiCPouq52ZtI8ybMCX5,68,0.424,0.52,11.0,-10.231,1.0,0.34299999999999997,0.0020399999999999997,0.00413,0.41100000000000003,0.184,189.613,4.0
Carry Out,Timbaland Featuring Justin Timberlake,2DHc2e5bBn4UzY0ENVFrUl,240,0.478,0.569,10.0,-6.763999999999999,0.0,0.14800000000000002,0.11699999999999999,0.0669,0.248,0.259,95.988,4.0
El Cerrito Place,Kenny Chesney,13JngJc6J0ykO7Pq0gin35,70,0.596,0.503,4.0,-7.606,1.0,0.0272,0.13,0.0,0.0754,0.262,134.032,4.0
Luv,Tory Lanez,16Ah4QqH4mgYVXqfC4mdSd,71,0.539,0.528,11.0,-8.113,0.0,0.252,0.0108,0.0,0.11699999999999999,0.252,190.169,4.0
Don't,Billy Currington,0iA1unTbTbDOWUSlbwJ1pS,280,0.503,0.8240000000000001,3.0,-4.039,1.0,0.0524,0.083,0.0,0.21,0.44799999999999995,161.981,4.0
Two People Fell In Love,Brad Paisley,154grZhOoDf2FDTnS2BpK6,2,0.6,0.44,0.0,-10.79,1.0,0.0291,0.332,0.0,0.14800000000000002,0.381,80.334,4.0
Waiting For Tonight,Jennifer Lopez,5yaCquc7koPqtgj7v0lwHX,74,0.695,0.945,10.0,-6.165,0.0,0.0418,0.0034100000000000003,0.0727,0.10300000000000001,0.84,125.01299999999999,4.0
Stay With You,Goo Goo Dolls,5TwHsJUggwl7XFDv23ihSq,75,0.433,0.868,0.0,-3.03,1.0,0.0422,0.0012699999999999999,2.87e-06,0.132,0.41,139.89600000000002,4.0
Piece Of Me,Britney Spears,2EvwLVrnYbCZEG6Kx5DCRy,76,0.769,0.638,11.0,-5.053999999999999,1.0,0.21600000000000003,0.0902,0.0,0.0857,0.782,115.007,4.0
There You Are,Sam Salter,29o8jhM7RbYzaSOV13ISGA,77,0.63,0.52,11.0,-8.162,0.0,0.0289,0.257,0.0,0.0577,0.375,137.792,4.0
We Danced,Brad Paisley,4HHtqzri9jrmAGFyucxkLG,78,0.596,0.465,9.0,-8.511000000000001,1.0,0.0253,0.385,0.0,0.106,0.141,73.013,4.0
When You Need My Love,Darryl Worley,4YVn5jM7iJqjQLu1gRhP2W,79,0.59,0.653,4.0,-5.806,1.0,0.023,0.11900000000000001,0.0,0.313,0.402,85.991,4.0
Dance With Me,Debelah Morgan,1C2Q3AymKS17bw7T5gfq6p,278,0.85,0.674,7.0,-7.981,0.0,0.0373,0.309,0.0006450000000000001,0.0356,0.74,115.005,4.0
Teach Me How To Dougie,Cali Swag District,61LtVmmkGr8P9I2tSPvdpf,286,0.846,0.43799999999999994,11.0,-4.981,1.0,0.141,0.2,9.429999999999999e-05,0.0939,0.512,85.01299999999999,4.0
Sing,Ed Sheeran,6K8qKeWo5MsFED7wCR6Kop,82,0.818,0.67,8.0,-4.4510000000000005,0.0,0.0472,0.304,1.22e-06,0.0601,0.9390000000000001,119.988,4.0
The Anthem,Pitbull Featuring Lil Jon,6TVhP2a7ESba4pR5ePflRw,238,0.7909999999999999,0.782,10.0,-4.012,0.0,0.247,0.00446,4.8e-06,0.267,0.897,123.975,4.0
Read My Mind,The Killers,7cX4PJz1old9fyFI8RlfgW,27,0.5429999999999999,0.917,1.0,-3.391,1.0,0.0444,0.00572,7.759999999999999e-05,0.10400000000000001,0.32899999999999996,132.246,4.0
Chantaje,Shakira Featuring Maluma,6mICuAdrwEjh6Y6lroV2Kg,85,0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.03399999999999,4.0
Swish Swish,Katy Perry Featuring Nicki Minaj,3OtMnyUaiipcAT23A8liyi,86,0.8390000000000001,0.705,5.0,-5.194,0.0,0.0445,0.0184,1.77e-05,0.102,0.575,119.954,4.0
Wherever You Go,Voices Of Theory,4G3HuXbtn7AwtW4aCIaMxx,87,0.527,0.461,11.0,-7.57,1.0,0.0252,0.687,0.0,0.187,0.261,107.836,4.0
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,1f5cbQtDrykjarZVrShaDI,88,0.8390000000000001,0.81,5.0,-5.274,0.0,0.0568,0.501,0.0,0.11699999999999999,0.8140000000000001,129.014,4.0
I Think I'm In Love With You,Jessica Simpson,34PsixEmIceg39NpaYxBsH,89,0.715,0.815,9.0,-5.867000000000001,1.0,0.0576,0.0689,0.0,0.233,0.804,106.001,4.0
Sugar,Flo Rida Featuring Wynter,4shgvM4ClrZeDiflNJwlGd,90,0.738,0.868,1.0,-4.15,1.0,0.0348,0.0371,0.0,0.294,0.19899999999999998,130.003,4.0
Break,Three Days Grace,4urxRqBRiaH0i20OKBsgxc,91,0.578,0.897,0.0,-3.906,1.0,0.0357,0.000666,0.0,0.0924,0.737,115.491,4.0
